household_id,group,manure,crop_rotation,intercropping,mulching,number_of_practices,base_yield,practice_effect,noise,yield_tha
26,Control,1,0,1,0,2,0.8248387781832176,0.14,0.12249474034137475,1.0873335185245923
27,Control,1,0,0,0,1,0.547665132586048,0.07,0.16312906958341208,0.7807942021694602
28,Control,0,0,1,1,2,1.1555895163661776,0.14,-0.2659223003059327,1.0296672160602447
29,Control,1,0,0,0,1,1.1102932206154381,0.07,0.17188155866241553,1.3521747792778538
30,Control,0,0,1,0,1,1.4792320137781698,0.07,-0.08247212166825067,1.4667598921099192
31,Control,0,0,0,0,0,0.9479482661728966,0,-0.03771956299844098,0.9102287031744556
32,Control,0,0,1,0,1,0.4858096104888683,0.07,0.12110037347378895,0.6769099839626573
33,Control,1,1,1,0,3,1.085456955241664,0.21000000000000002,-0.006576595131055234,1.2888803601106087
34,Control,0,0,0,0,0,0.5453621017229604,0,0.3074468827387164,0.8528089844616769
35,Control,1,0,0,0,1,0.6648314724857317,0.07,0.20680177292905677,0.9416332454147884
36,Control,0,0,1,1,2,0.8613291240223162,0.14,-0.28843776676627186,0.7128913572560442
37,Control,1,0,0,0,1,0.864880376689827,0.07,0.05604658689347794,0.990926963583305
38,Control,1,0,0,0,1,0.5868316495886761,0.07,0.039671400419083784,0.6965030500077599
39,Control,0,1,0,0,1,1.3145774540777142,0.07,-0.11681898077147312,1.267758473306241
40,Control,0,0,0,0,0,1.091666865029842,0,0.4148325711965499,1.506499436226392
41,Control,1,0,0,1,2,0.7243754150645945,0.14,-0.49209175423167606,0.5
42,Control,1,0,0,0,1,0.7464332238842337,0.07,-0.18003902998335705,0.6363941939008767
43,Control,1,1,0,0,2,0.6318022974454716,0.14,0.17296268643776014,0.9447649838832317
44,Control,0,0,0,0,0,1.1054587926071124,0,-0.2329811800757566,0.8724776125313558
45,Control,1,1,1,0,3,1.2642479746929776,0.21000000000000002,-0.25733998243231826,1.2169079922606594
46,Control,0,0,0,0,0,0.8638099361241769,0,-0.18841288670390766,0.6753970494202692
47,Control,0,1,0,1,2,1.3054138627007368,0.14,-0.08225749712845967,1.3631563655722772
48,Control,0,0,0,1,1,0.904236436036835,0.07,-0.15026084915021196,0.823975586886623
49,Control,0,0,0,0,0,1.0774406531975327,0,0.07900651902037978,1.1564471722179124
50,Control,0,0,0,0,0,1.3349092799083597,0,-0.33049603714826714,1.0044132427600925
51,Control,1,0,0,0,1,0.7683675101291141,0.07,0.4029212800228734,1.2412887901519876
52,Control,1,0,1,0,2,1.0337782918761849,0.14,0.07910472706565562,1.2528830189418405
53,Control,1,0,1,0,2,1.1594686718114904,0.14,0.00852937366008665,1.3079980454715772
54,Control,0,0,0,0,0,0.8731292048148617,0,-0.2500462908730066,0.623082913941855
55,Control,1,1,0,0,2,1.0445871976023315,0.14,0.1474361439442277,1.3320233415465592
56,Control,0,0,0,0,0,1.1197858926288997,0,0.006618800123247993,1.1264046927521476
57,Control,0,1,0,0,1,1.3556356165952321,0.07,-0.08466797019475053,1.3409676464004816
58,Control,1,0,1,0,2,1.2757285995646594,0.14,-0.0247607952317883,1.390967804332871
59,Control,1,0,0,0,1,0.8815690896117113,0.07,-0.12762509180385215,0.8239439978078591
60,Control,1,1,0,0,2,1.1827722727330812,0.14,-0.2603101645951202,1.0624621081379608
61,Control,0,0,0,0,0,1.465826296966601,0,0.0807386025264181,1.546564899493019
62,Control,0,0,0,0,0,0.8113015410387325,0,0.34611816208184326,1.1574197031205757
63,Control,0,1,0,1,2,1.4257748616107926,0.14,0.09746379763935797,1.6632386592501507
64,Control,0,0,0,0,0,0.5888003970708469,0,-0.1467081192015073,0.5
65,Control,0,0,0,0,0,0.7308906939464096,0,-0.42312678801956755,0.5
66,Control,1,0,1,0,2,1.0411338469583888,0.14,0.18048724076780145,1.3616210877261903
67,Control,1,0,1,1,3,0.4886872719159855,0.21000000000000002,-0.2457290831932767,0.5
68,Control,0,1,0,1,2,1.096092417638391,0.14,0.0502675482043526,1.2863599658427438
69,Control,0,1,0,0,1,0.3606869145707603,0.07,0.08421681919245352,0.5149037337632139
70,Control,1,0,0,0,1,0.7772645699794197,0.07,0.07875224869304305,0.9260168186724628
71,Control,1,0,0,0,1,0.714417470283984,0.07,0.11481412073365418,0.899231591017638
72,Control,1,1,0,0,2,1.28019637591738,0.14,0.13770583620902332,1.5579022121264035
73,Control,1,1,1,1,4,0.670155135329431,0.28,-0.22319841148771996,0.7269567238417112
74,Control,1,0,1,1,3,1.3891330303672034,0.21000000000000002,-0.2623990428906705,1.3367339874765327
75,Control,1,0,0,0,1,0.756439296561966,0.07,-0.3888549847546656,0.5
76,Control,0,1,0,0,1,0.8985423358756975,0.07,-0.032495353183950144,0.9360469826917474
77,Control,1,0,0,0,1,0.7512759574646735,0.07,0.2054443755936035,1.026720333058277
78,Control,1,0,1,0,2,1.3229956544948207,0.14,0.2091127245247989,1.6721083790196198
79,Control,1,0,0,0,1,0.6016315583466711,0.07,-0.1456902245881532,0.525941333758518
80,Control,1,0,0,0,1,1.221972249538319,0.07,-0.058619078062386865,1.2333531714759323
81,Control,0,0,1,0,1,1.2930019451868695,0.07,-0.3283980128660924,1.0346039323207772
82,Control,1,0,0,0,1,0.8869554254056391,0.07,-0.34747623319409804,0.6094791922115411
83,Control,1,0,1,0,2,0.609732623504184,0.14,-0.20245570596584833,0.5472769175383356
84,Control,0,0,0,1,1,1.217561303477486,0.07,0.13449071310645286,1.4220520165839388
85,Control,0,0,0,0,0,0.7089039469172982,0,-0.07838284189238172,0.6305211050249164
86,Control,0,0,1,0,1,0.7337762922045008,0.07,0.2409840182197266,1.0447603104242273
87,Control,1,0,0,0,1,0.7941349668366993,0.07,0.0708549975429884,0.9349899643796877
88,Control,1,1,1,0,3,0.7197529370927789,0.21000000000000002,0.4189353813354367,1.3486883184282155
89,Control,1,0,0,0,1,1.4974981984433364,0.07,-0.24128767406403046,1.326210524379306
90,Control,1,0,0,0,1,1.1842394961840723,0.07,-0.3120471954292172,0.9421923007548552
91,Control,0,0,0,0,0,1.1015923862423478,0,0.13468055018137634,1.2362729364237242
92,Control,1,0,1,0,2,0.8271973118462507,0.14,-0.0853495242972328,0.8818477875490178
93,Control,1,0,0,0,1,1.3152026755306792,0.07,-0.23393548658928692,1.1512671889413923
94,Control,0,0,0,0,0,0.6950658306609814,0,-0.3134211860020362,0.5
95,Control,0,0,0,1,1,0.9369489390953811,0.07,-0.16333782891713733,0.8436111101782439
96,Control,0,0,0,0,0,1.3308956807813437,0,-0.011710722845438254,1.3191849579359054
97,Control,1,0,0,0,1,0.7198730305691503,0.07,0.1695994492532442,0.9594724798223946
98,Control,1,1,0,0,2,1.0112018985343787,0.14,0.10426822334562268,1.2554701218800015
99,Control,0,0,1,0,1,0.7692771562724589,0.07,-0.016196032602922187,0.8230811236695366
100,Control,0,0,0,0,0,0.8837301310275104,0,0.01354084429547249,0.8972709753229829
101,Control,0,0,1,0,1,0.9838480773601042,0.07,-0.07749088186097235,0.9763571954991319
102,Control,1,0,0,0,1,0.9434372572070407,0.07,-0.003445745064554763,1.0099915121424858
103,Control,1,0,0,0,1,1.2897095239772907,0.07,0.17732342138042853,1.5370329453577192
104,Control,1,0,1,0,2,1.1877719790672068,0.14,-0.18335366174996426,1.1444183173172424
105,Control,0,0,0,0,0,1.2453678469123641,0,-0.2501490174562175,0.9952188294561466
106,Control,0,0,0,0,0,1.2539314379251103,0,-0.16009663959595063,1.0938347983291596
107,Control,0,0,0,0,0,1.3995091969473343,0,-0.052230507949028,1.3472786889983064
108,Control,0,0,0,0,0,1.0680904765008474,0,-0.01769718221237698,1.0503932942884704
109,Control,1,1,0,0,2,1.1960529459378249,0.14,0.10210425787425698,1.438157203812082
110,Control,1,0,1,1,3,0.8978066965806804,0.21000000000000002,-0.22223273411447697,0.8855739624662033
111,Control,0,0,0,1,1,0.9652062812969819,0.07,-0.05631635571120078,0.9788899255857813
112,Control,0,0,1,0,1,1.1607551436816588,0.07,-0.1640103832856403,1.0667447603960185
113,Control,0,1,0,1,2,0.8986939712110131,0.14,-0.2090662860688559,0.8296276851421573
114,Control,1,0,0,0,1,0.8876743654888737,0.07,0.38925398094074104,1.346928346429615
115,Control,1,1,1,0,3,1.081835066555427,0.21000000000000002,-0.11797654131307707,1.17385852524235
116,Control,1,0,1,0,2,1.4607753405041637,0.14,0.13472517713783413,1.7355005176419978
117,Control,1,0,0,0,1,0.5824330940784076,0.07,-0.31484162420850004,0.5
118,Control,1,0,1,0,2,0.8585094974417734,0.14,0.17221362929260736,1.1707231267343807
119,Control,0,0,0,0,0,1.1144755054254636,0,-0.35032416135542,0.7641513440700436
120,Control,0,0,0,0,0,1.0958023258789424,0,0.4038554694579805,1.499657795336923
121,Control,1,0,1,0,2,0.5755701452651467,0.14,-0.0682078130960453,0.6473623321691014
122,Control,1,0,0,0,1,0.778085724625017,0.07,0.011307350776062729,0.8593930754010798
123,Control,0,0,0,0,0,0.6634806541968481,0,0.253780406008157,0.9172610602050051
124,Control,0,0,0,0,0,0.9863306209023311,0,0.21133616893325474,1.197666789835586
125,Control,0,0,0,0,0,1.3940689421973214,0,-0.208590885585381,1.1854780566119403
126,Control,1,0,0,0,1,0.999525387308521,0.07,-0.15323832146471458,0.9162870658438065
127,Control,0,0,0,1,1,0.9363726298552312,0.07,0.17000724666291286,1.176379876518144
128,Control,0,0,1,1,2,1.6760425027767631,0.14,-0.12718940523450095,1.6888530975422622
129,Control,1,0,0,0,1,0.8181258603672281,0.07,-0.10549492118904165,0.7826309391781865
130,Control,0,0,0,1,1,1.0341468265309912,0.07,-0.07513424494591806,1.0290125815850732
131,Control,0,0,0,0,0,0.8995778637374905,0,-0.5022287560810311,0.5
132,Control,0,0,0,0,0,0.7278154907864165,0,0.16235030017163143,0.8901657909580479
133,Control,0,0,0,0,0,1.1817573155271206,0,0.05490025343890166,1.2366575689660222
134,Control,0,1,0,1,2,0.8431552467500523,0.14,0.04225657870860018,1.0254118254586524
135,Control,0,0,0,0,0,1.2551318178129387,0,0.23679231202250675,1.4919241298354455
136,Control,0,0,0,1,1,0.8775891785586946,0.07,-0.31932972103822843,0.6282594575204661
137,Control,0,0,0,1,1,0.9574574030288392,0.07,0.2408932812827742,1.2683506843116135
138,Control,1,1,1,0,3,0.7558305778391666,0.21000000000000002,0.1186532439091394,1.0844838217483062
139,Control,0,0,0,0,0,0.9023378232062003,0,0.3982232433663133,1.3005610665725136
140,Control,0,0,1,0,1,1.1134472191496432,0.07,0.11981540814002581,1.303262627289669
141,Control,1,1,0,0,2,0.4016543913855988,0.14,-0.21091941896249267,0.5
142,Control,1,0,0,0,1,0.7001929920271308,0.07,-0.36452127698187486,0.5
143,Control,1,0,0,1,2,1.0851467269402268,0.14,-0.14600338159620213,1.0791433453440247
144,Control,0,0,0,1,1,0.6696418069470522,0.07,-0.00280309636873079,0.7368387105783215
145,Control,0,0,0,0,0,1.2950040947078585,0,-0.2219419262739359,1.0730621684339225
146,Control,0,1,1,0,2,0.6950123783358819,0.14,-0.24672075859561585,0.5882916197402661
147,Control,1,0,0,0,1,0.7408277514584071,0.07,0.18636831605054271,0.9971960675089497
148,Control,0,0,0,0,0,0.9319039992038942,0,0.055842608593572034,0.9877466077974663
149,Control,1,0,0,0,1,0.9182835821634333,0.07,0.01247465889530399,1.0007582410587372
150,Control,1,0,0,0,1,0.9238628685270287,0.07,-0.11048939344999989,0.8833734750770289
151,Control,0,0,0,1,1,1.1247329120329108,0.07,0.1215310669005741,1.316263978933485
152,Control,1,0,0,1,2,1.1717325608874722,0.14,0.5231553535705871,1.8348879144580592
153,Control,0,0,0,1,1,0.4545291276431418,0.07,-0.6162176321374431,0.5
154,Control,1,0,1,0,2,1.286001054748422,0.14,-0.07227755915389937,1.3537234955945228
155,Control,0,0,0,0,0,1.4032743618139347,0,0.13316133312101597,1.5364356949349507
156,Control,0,0,0,0,0,0.7736589354215029,0,-0.010256753033657574,0.7634021823878453
157,Control,1,0,0,0,1,0.43392932888875935,0.07,0.07455451628317632,0.5784838451719357
158,Control,1,0,0,0,1,0.508252001166506,0.07,-0.26456642012995435,0.5
159,Control,1,0,1,0,2,0.4261540319792876,0.14,-0.05898969512899954,0.50716433685028806
160,Control,0,0,0,1,1,1.0926163185271933,0.07,-0.31534474103041615,0.8472715774967772
161,Control,0,0,0,0,0,1.1902472776138104,0,-0.03334433524517465,1.156902942368636
162,Control,0,0,0,0,0,1.4421903168253791,0,-0.043572281852891866,1.3986180349724873
163,Control,0,0,0,1,1,1.097071628667307,0.07,0.040248514502482735,1.2073201431697898
164,Control,1,0,1,0,2,1.2770530375271145,0.14,0.19266558493691,1.6097186224640243
165,Control,1,0,0,0,1,0.8329352682021667,0.07,-0.16580719991043935,0.7371280682917274
166,Control,1,0,0,1,2,0.7021207439114077,0.14,0.3086841304151915,1.150804874326599
167,Control,1,0,1,0,2,1.0802088043837692,0.14,0.35864815143606993,1.5788569558198393
168,Control,1,0,1,0,2,1.101160882163519,0.14,-0.196939502992858,1.044221379170661
169,Control,1,0,1,0,2,0.37800772091330126,0.14,-0.17492926621387028,0.5
170,Control,1,0,1,0,2,1.2813810796999134,0.14,-0.06807908449807118,1.3533019952018424
171,Control,0,0,1,0,1,0.8160806201041372,0.07,-0.07516061621307776,0.8109200038910593
172,Control,1,0,0,0,1,0.9663721287463024,0.07,0.27625314485712704,1.3126252736034294
173,Control,1,0,0,0,1,0.6958223729128834,0.07,0.3272128494433544,1.0930352223562378
174,Control,1,0,0,0,1,1.190917824030729,0.07,0.1733616309103706,1.4342794549410995
175,Control,1,0,0,0,1,0.8887831574755303,0.07,-0.2531521801017281,0.7056309773738023
176,Control,1,1,0,1,3,0.5736000960842689,0.21000000000000002,-0.022791060488307653,0.7608090355959611
177,Control,0,0,0,1,1,1.086727069118579,0.07,-0.10086946165757216,1.0558576074610069
178,Control,0,0,0,0,0,0.5056387972881917,0,0.49092211028239197,0.9965609075705837
179,Control,0,0,0,0,0,0.942926433168173,0,0.024366494829252197,0.9672929279974253
180,Control,0,1,0,0,1,1.005821209286284,0.07,0.24265581256282648,1.3184770218491104
181,Control,0,0,0,1,1,1.8105493181198513,0.07,-0.19579095338558125,1.68475836473427
182,Control,0,1,0,0,1,1.1532914667108765,0.07,0.3072179847248702,1.5305094514357467
183,Control,1,1,1,0,3,0.6179968170869793,0.21000000000000002,0.20240204569674503,1.0303988627837244
184,Control,1,0,0,0,1,1.1129313739937403,0.07,0.022849567667636194,1.2057809416613765
185,Control,0,0,1,0,1,0.9703702029855087,0.07,0.09081239971568822,1.1311826027011969
186,Control,0,0,0,1,1,1.0661633486764557,0.07,-0.20862637213847704,0.9275369765379787
187,Control,0,1,1,1,3,0.5152219390091016,0.21000000000000002,-0.11618066018226732,0.6090412788268343
188,Control,0,0,0,0,0,1.5042709052474046,0,-0.028016704759728086,1.4762542004876764
189,Control,1,0,1,0,2,1.1674707305821193,0.14,0.17685459707271267,1.4843253276548318
190,Control,1,0,1,1,3,0.8870827483795748,0.21000000000000002,0.13650025510566893,1.2335830034852437
191,Control,1,0,1,1,3,0.3917301745314906,0.21000000000000002,0.06418004243452517,0.6659102169660158
192,Control,0,1,0,1,2,1.1193715929720485,0.14,-0.2342413419834073,1.0251302509886413
193,Control,1,0,1,0,2,0.5809308204253774,0.14,-0.10962300953475444,0.6113078108906229
194,Control,1,1,0,0,2,0.6453188434098942,0.14,-0.21224938398958632,0.5730694594203078
195,Control,1,0,0,0,1,1.1626974801222034,0.07,-0.07999398916126364,1.15270349096094
196,Control,1,0,0,0,1,1.2204163450917167,0.07,-0.2682700733635415,1.0221462717281753
197,Control,1,0,0,0,1,0.8864487410765588,0.07,-0.2250804714751915,0.7313682696013672
198,Control,1,0,1,0,2,0.5071583284731813,0.14,-0.05685990497672272,0.5902984234964586
199,Control,0,0,0,0,0,0.29390970938917715,0,-0.45650948836467464,0.5
200,Control,0,0,0,0,0,0.5799446470541121,0,-0.05838383527513368,0.5215608117789784
201,Control,0,0,0,0,0,0.790962047621468,0,-0.10688358713536249,0.6840784604861055
202,Control,1,0,0,0,1,0.7078979570123831,0.07,-0.01719022304158987,0.7607077339707933
203,Control,0,0,0,0,0,1.0964129271093537,0,-0.4255980202479426,0.6708149068614111
204,Control,1,0,0,0,1,0.7542968879243486,0.07,0.08417275029927146,0.9084696382236201
205,Control,1,0,1,0,2,1.1418113769340472,0.14,0.27609877188429216,1.5579101488183396
206,Control,1,1,1,0,3,1.3586251370543199,0.21000000000000002,-0.34167567882880534,1.2269494582255145
207,Control,0,0,0,0,0,0.8663024964293553,0,-0.291444361904221,0.5748581345251342
208,Control,1,0,1,0,2,0.5940610039618948,0.14,0.3206838625220085,1.0547448664839032
209,Control,1,1,0,0,2,0.6444907976431629,0.14,0.036983646473200855,0.8214744441163637
210,Control,1,0,0,0,1,1.2281820893040765,0.07,-0.08354356718535078,1.2146385221187257
211,Control,0,0,1,0,1,0.5327955721774151,0.07,0.23743128498318344,0.8402268571605986
212,Control,0,0,1,1,2,1.4806621117116057,0.14,-0.2755775055709994,1.345084606140606
213,Control,1,0,1,1,3,1.0837648076103235,0.21000000000000002,0.2339808642841648,1.5277456718944882
214,Control,1,0,0,0,1,1.2874470143531305,0.07,-0.2933089077493515,1.064138106603779
215,Control,1,0,1,0,2,0.7786315107039837,0.14,0.3473225487616468,1.2659540594656304
216,Control,0,1,1,0,2,0.8076844311610192,0.14,-0.08714803754641598,0.8605363936146032
217,Control,0,0,0,1,1,1.1339385542443743,0.07,0.08160136799320267,1.285539922237577
218,Control,1,0,0,1,2,0.9432363246875306,0.14,0.380415933892263,1.4636522585797935
219,Control,0,0,0,0,0,1.176427226790017,0,-0.054544806959193594,1.1218824198308235
220,Control,0,0,1,0,1,0.9435861223048726,0.07,0.020023510128558474,1.033609632433431
221,Control,1,0,0,1,2,0.9450857666378734,0.14,-0.45890400132126824,0.6261817653166053
222,Control,1,0,1,0,2,1.5281113258405021,0.14,-0.046065190262434184,1.622046135578068
223,Control,0,0,0,0,0,1.1475457057798215,0,0.13513835451181844,1.2826840602916398
224,Control,0,0,0,0,0,0.3019295886938821,0,0.12000626722531577,0.5
225,Control,1,0,0,0,1,1.215170216013813,0.07,-0.13360794756926955,1.1515622684445435
226,Control,0,0,0,0,0,0.7952983674760509,0,-0.2261917497503355,0.5691066177257154
227,Control,1,0,0,0,1,1.0115843269378515,0.07,-0.0074988414883245804,1.074085485449527
228,Control,1,1,0,0,2,1.4060329817124542,0.14,0.399519335964422,1.9455523176768763
229,Control,1,0,0,0,1,1.507416944008729,0.07,0.08343204109843338,1.6608489851071626
230,Control,1,1,0,0,2,0.4068252328878521,0.14,-0.15884617728944003,0.5
231,Control,1,0,0,0,1,0.5423807527235003,0.07,0.26913992668184095,0.8815206794053413
232,Control,1,0,0,0,1,1.1313240702647658,0.07,0.1978101773244478,1.3991342475892137
233,Control,1,0,0,0,1,0.8070624041937455,0.07,-0.032516491439804,0.8445459127539416
234,Control,1,0,1,0,2,0.8571766139863599,0.14,-0.11842987863448813,0.8787467353518718
235,Control,0,0,0,0,0,1.3688203805800134,0,-0.1676862403832928,1.2011341401967206
236,Control,0,0,0,0,0,0.8615326198012386,0,0.11491889106846548,0.976451510869704
237,Control,1,0,1,0,2,0.6498608454056789,0.14,0.2372204012447841,1.027081246650463
238,Control,0,0,0,0,0,0.9098942675637449,0,-0.05695925184641898,0.8529350157173259
239,Control,0,0,1,0,1,1.2309921947101135,0.07,-0.3809364394735215,0.920055755236592
240,Control,1,0,0,0,1,1.0720788397835985,0.07,0.0733641386860898,1.2154429784696883
241,Control,1,0,0,1,2,1.2262506391904882,0.14,0.06541376597384607,1.4316644051643341
242,Control,0,0,0,0,0,0.46927553071589,0,-0.3633012335057335,0.5
243,Control,1,0,0,1,2,1.0348996961139145,0.14,0.3979386216696408,1.5728383177835552
244,Control,1,0,1,0,2,1.2076067619225443,0.14,-0.2074897070247174,1.140117054897827
245,Control,0,0,1,0,1,1.4133958075562914,0.07,-0.36084377953474667,1.1225520280215449
246,Control,1,0,0,1,2,0.1792089367915457,0.14,-0.342174613724683,0.5
247,Control,1,1,0,0,2,0.7652304428662773,0.14,-0.18405540146648564,0.7211750413997917
248,Control,1,0,0,0,1,1.2424130019960435,0.07,-0.20527109439066515,1.1071419076053783
249,Control,1,0,1,0,2,1.1572205757939416,0.14,0.15133733354976742,1.448557909343709
250,Control,0,1,0,0,1,1.1068353323100728,0.07,0.09594065449054041,1.2727759868006132
251,Control,1,0,0,0,1,0.5185134960006117,0.07,-0.1432281876604876,0.5
252,Control,1,1,0,0,2,0.9031953821123442,0.14,-0.17080369875334567,0.8723916833589986
253,Control,1,0,1,0,2,0.35156218254356786,0.14,-0.358570208308359,0.5
254,Control,1,0,0,0,1,1.0057290106847518,0.07,0.0366317341194433,1.1123607448041952
255,Control,1,0,0,0,1,0.7021886858261213,0.07,-0.21163187466887534,0.560556811157246
256,Control,0,0,0,1,1,0.5680703771393938,0.07,0.15488840962146855,0.7929587867608624
257,Control,1,0,0,0,1,1.0507874658591616,0.07,-0.13893613027273927,0.9818513355864225
258,Control,1,1,0,0,2,1.5474477583228605,0.14,0.16551999775160633,1.852967756074467
259,Control,0,0,1,1,2,0.5246674653752661,0.14,-0.24080957632679856,0.5
260,Control,0,0,0,0,0,0.7378509947149079,0,-0.20720217651667558,0.5306488181982323
261,Control,0,1,1,0,2,0.9412657159120668,0.14,-0.0499513813028842,1.0313143346091824
262,Control,1,1,0,0,2,0.7880041952542289,0.14,0.12201425147543299,1.0500184467296618
263,Control,1,0,1,0,2,0.6868947683851099,0.14,0.10299990066504823,0.9298946690501582
264,Control,0,0,1,0,1,1.183000520562826,0.07,-0.10793394992778688,1.1450665706350391
265,Control,1,0,0,0,1,0.6978424563503094,0.07,-0.1949688432370479,0.5728736131132616
266,Control,1,0,0,1,2,0.9514650630426262,0.14,0.1369461550148625,1.2284112180574887
267,Control,0,1,0,0,1,1.2940155629006878,0.07,-0.019204479513103157,1.3448110833875846
268,Control,1,0,0,0,1,1.108582677686825,0.07,0.12035812544602396,1.298940803132849
269,Control,0,0,1,0,1,0.5183026242795126,0.07,0.39449349901068187,0.9827961232901945
270,Control,0,0,1,0,1,1.3933169213427663,0.07,0.028031870004601608,1.491348791347368
271,Control,1,0,0,1,2,1.1618164520226133,0.14,0.27709168954634555,1.5789081415689588
272,Control,0,0,1,0,1,1.0656382672311413,0.07,-0.23234844679658637,0.903289820434555
273,Control,1,0,0,0,1,0.9610099320234212,0.07,-0.011490514796402496,1.0195194172270188
274,Control,1,0,0,0,1,0.7404841325363485,0.07,-0.04980708084060471,0.7606770516957438
275,Control,0,0,0,0,0,0.7523085451327503,0,-0.304832421971306,0.5
276,Control,1,0,0,0,1,0.7137582774718688,0.07,0.09271820686495154,0.8764764843368203
277,Control,1,0,0,0,1,0.5823328777204587,0.07,-0.23752414527830457,0.5
278,Control,1,0,0,0,1,1.1597517090710756,0.07,0.09881284237699046,1.3285645514480662
279,Control,1,0,0,0,1,0.5919958239253282,0.07,-0.15871045665038427,0.503285367274944
280,Control,1,0,1,0,2,1.1253998467214485,0.14,-0.11005472943796597,1.1553451172834825
281,Control,1,0,0,1,2,0.7449225531119013,0.14,-0.0756633624505241,0.8092591906613772
282,Control,1,0,0,0,1,1.2608579079078361,0.07,-0.29264092764146027,1.0382169802663759
283,Control,1,0,1,1,3,1.3103441308793264,0.21000000000000002,0.20929938245734847,1.7296435133366748
284,Control,0,0,0,0,0,1.0062210362318904,0,-0.10097002985341251,0.9052510063784779
285,Control,1,1,0,1,3,1.1185357914469263,0.21000000000000002,0.17874430854784798,1.5072800999947742
286,Control,1,0,0,0,1,1.0829056425625727,0.07,-0.03652604322988328,1.1163795993326895
287,Control,1,1,1,0,3,0.5779275500407095,0.21000000000000002,-0.034526812712581144,0.7534007373281283
288,Control,1,0,0,0,1,1.2414056038947663,0.07,-0.2279317319681151,1.0834738719266512
289,Control,1,0,0,0,1,1.2325162032421306,0.07,0.11037547625035507,1.4128916794924857
290,Control,1,0,0,0,1,0.7275562926811012,0.07,0.011194257932658516,0.8087505506137598
291,Control,0,0,1,0,1,0.7011939652189108,0.07,-0.09261486084875038,0.6785791043701604
292,Control,0,0,0,0,0,1.1087639935444475,0,0.15745811583774538,1.266222109382193
293,Control,1,0,1,0,2,0.6741752905687528,0.14,0.07543214773461464,0.8896074383033674
294,Control,1,0,0,0,1,1.0525786386542948,0.07,0.012568736521130282,1.135147375175425
295,Control,1,1,1,1,4,1.1903570263065681,0.28,0.003745802087135538,1.4741028283937037
296,Control,1,0,0,0,1,0.9195085063245225,0.07,0.22689108855769127,1.216399594882214
297,Control,0,0,0,0,0,0.9569744210789131,0,-0.021667026735428117,0.935307394343485
298,Control,0,0,1,0,1,0.7944021351631059,0.07,0.4048437072410014,1.2692458424041073
299,Control,1,0,1,1,3,0.9068613589491111,0.21000000000000002,0.09267145559120034,1.2095328145403115
300,Control,1,1,0,0,2,0.8289491351807174,0.14,-0.04374028999095156,0.9252088451897659
301,Control,1,0,0,0,1,1.7603038691116426,0.07,0.2227189863526784,2.053022855464321
302,Control,1,0,1,0,2,1.1804607904402227,0.14,-0.29072568235839735,1.0297351080818253
303,Control,1,0,0,1,2,1.3382683626495335,0.14,0.24796831722381552,1.7262366798733488
304,Control,1,1,0,1,3,0.8589245303858406,0.21000000000000002,-0.39877707960458514,0.6701474507812555
