County ,Farmer No.,Type ,Type  of Crop,RA Practice,Difficulty (1–5),Cost (Low/Med/High),Time to Benefit (months),Adoption WITH VBA Support (%),Adoption WITHOUT VBA (%),
Tharaka Nithi,18,VBA,Sorghum,Intercropping,1.00,Low,3.00,90.00,60.00,
Tharaka Nithi,18,VBA,Sorghum,Crop rotation,1.00,Low,3.00,90.00,60.00,
Tharaka Nithi,19,VBA,Sorghum,Ripping,5.00,High,3.00,80.00,5.00,
Tharaka Nithi,19,VBA,Sorghum,Planting basins,5.00,High,3.00,80.00,10.00,
Tharaka Nithi,19,VBA,Sorghum,Manure application,5.00,Low,3.00,40.00,5.00,
Tharaka Nithi,19,VBA,Sorghum,Mulching,5.00,Med,3.00,70.00,10.00,
Tharaka Nithi,19,VBA,Sorghum,Microdosing,5.00,High,3.00,40.00,50.00,
Tharaka Nithi,19,VBA,Sorghum,Agroforestry,1.00,Low,3.00,90.00,20.00,
Tharaka Nithi,19,VBA,Sorghum,Intercropping,1.00,Low,3.00,80.00,20.00,
Tharaka Nithi,19,VBA,Sorghum,Crop rotation,1.00,Low,3.00,80.00,50.00,
Tharaka Nithi,20,Farmer,Maize,Ripping,1.00,High,3.00,50.00,50.00,
Tharaka Nithi,20,Farmer,Maize,Planting basins,,,3.00,30.00,40.00,
Tharaka Nithi,20,Farmer,Maize,Manure application,,,3.00,20.00,10.00,
Tharaka Nithi,20,Farmer,Maize,Mulching,,,3.00,10.00,20.00,
Tharaka Nithi,20,Farmer,Maize,Microdosing,,,3.00,25.00,10.00,
Tharaka Nithi,20,Farmer,Maize,Agroforestry,,,3.00,15.00,30.00,
Tharaka Nithi,20,Farmer,Maize,Intercropping,,,3.00,10.00,15.00,
Tharaka Nithi,20,Farmer,Maize,Crop rotation,,,3.00,15.00,10.00,
Tharaka Nithi,21,VBA,Sorghum,Ripping,,Low,3.00,80.00,60.00,
Tharaka Nithi,21,VBA,Sorghum,Planting basins,,High,3.00,70.00,50.00,
Tharaka Nithi,21,VBA,Sorghum,Manure application,,Med,3.00,70.00,60.00,
Tharaka Nithi,21,VBA,Sorghum,Mulching,,High,3.00,60.00,50.00,
Tharaka Nithi,21,VBA,Sorghum,Microdosing,,Med,3.00,90.00,80.00,
Tharaka Nithi,21,VBA,Sorghum,Agroforestry,,Low,3.00,70.00,60.00,
Tharaka Nithi,21,VBA,Sorghum,Intercropping,,Low,3.00,90.00,80.00,
Tharaka Nithi,21,VBA,Sorghum,Crop rotation,,Low,3.00,90.00,80.00,
Tharaka Nithi,22,Farmer,Green Grams ,Ripping,1.00,,4.00,10.00,65.00,
Tharaka Nithi,22,Farmer,Green Grams ,Planting basins,,,,80.00,43.00,
Tharaka Nithi,22,Farmer,Green Grams ,Manure application,1.00,High,,20.00,20.00,
Tharaka Nithi,22,Farmer,Green Grams ,Mulching,,,,25.00,70.00,
Tharaka Nithi,22,Farmer,Green Grams ,Microdosing,,,,25.00,50.00,
Tharaka Nithi,22,Farmer,Green Grams ,Agroforestry,,,,70.00,40.00,
Tharaka Nithi,22,Farmer,Green Grams ,Intercropping,1.00,,,30.00,35.00,
Tharaka Nithi,22,Farmer,Green Grams ,Crop rotation,1.00,,,65.00,20.00,
Tharaka Nithi,23,Farmer,Green Grams ,Ripping,2.00,Med,4.00,80.00,50.00,
Tharaka Nithi,23,Farmer,Green Grams ,Planting basins,1.00,Low,3.00,60.00,70.00,
Tharaka Nithi,23,Farmer,Green Grams ,Manure application,4.00,High,4.00,70.00,40.00,
Tharaka Nithi,23,Farmer,Green Grams ,Mulching,1.00,Low,3.00,75.00,65.00,
Tharaka Nithi,23,Farmer,Green Grams ,Microdosing,3.00,Low,2.00,50.00,40.00,
Tharaka Nithi,23,Farmer,Green Grams ,Agroforestry,1.00,Med,6.00,65.00,50.00,
Tharaka Nithi,23,Farmer,Green Grams ,Intercropping,2.00,High,3.00,40.00,60.00,
Tharaka Nithi,23,Farmer,Green Grams ,Crop rotation,1.00,Low,4.00,85.00,70.00,
Kitui,24,VBA,Green Grams ,Ripping,2.00,Med,3.00,70.00,20.00,
Kitui,24,VBA,Green Grams ,Planting basins,2.00,Med,3.00,80.00,30.00,
Kitui,24,VBA,Green Grams ,Manure application,1.00,Low,6.00,85.00,50.00,
Kitui,24,VBA,Green Grams ,Mulching,4.00,High,3.00,60.00,10.00,
Kitui,24,VBA,Green Grams ,Microdosing,3.00,High,6.00,70.00,20.00,
Kitui,24,VBA,Green Grams ,Agroforestry,4.00,Med,12.00,75.00,30.00,
Kitui,24,VBA,Green Grams ,Intercropping,5.00,Low,3.00,50.00,70.00,
Kitui,24,VBA,Green Grams ,Crop rotation,3.00,Low,6.00,80.00,50.00,
Kitui,25,VBA,Green Grams ,Ripping,1.00,Low,3.00,80.00,20.00,F
Kitui,25,VBA,Green Grams ,Planting basins,5.00,High,3.00,20.00,10.00,
Kitui,25,VBA,Green Grams ,Manure application,1.00,Low,3.00,25.00,15.00,
Kitui,25,VBA,Green Grams ,Mulching,1.00,High,3.00,50.00,20.00,
Kitui,25,VBA,Green Grams ,Microdosing,2.50,Low,3.00,25.00,10.00,
Kitui,25,VBA,Green Grams ,Agroforestry,5.00,Low,3.00,50.00,20.00,
Kitui,25,VBA,Green Grams ,Intercropping,2.50,Low,3.00,20.00,`10,
Kitui,25,VBA,Green Grams ,Crop rotation,2.00,Low,3.00,20.00,15.00,
Kitui,26,VBA,Maize,Ripping,2.00,Med,3.00,70.00,40.00,M
Kitui,26,VBA,Maize,Planting basins,4.00,High,3.00,50.00,10.00,
Kitui,26,VBA,Maize,Manure application,1.00,Med,3.00,80.00,60.00,
Kitui,26,VBA,Maize,Mulching,1.00,Low,3.00,80.00,30.00,
Kitui,26,VBA,Maize,Microdosing,3.00,Med,3.00,70.00,30.00,
Kitui,26,VBA,Maize,Agroforestry,5.00,Med,3.00,60.00,30.00,
Kitui,26,VBA,Maize,Intercropping,5.00,Low,3.00,50.00,70.00,
Kitui,26,VBA,Maize,Crop rotation,1.00,Low,3.00,70.00,60.00,M
Kitui,27,VBA,Maize,Ripping,2.00,Med,3.00,60.00,25.00,
Kitui,27,VBA,Maize,Planting basins,5.00,High,3.00,50.00,20.00,
Kitui,27,VBA,Maize,Manure application,1.00,Low,3.00,70.00,50.00,
Kitui,27,VBA,Maize,Mulching,4.00,Med,6.00,50.00,20.00,
Kitui,27,VBA,Maize,Microdosing,3.00,Med,3.00,50.00,20.00,
Kitui,27,VBA,Maize,Agroforestry,1.00,Low,3.00,70.00,50.00,
Kitui,27,VBA,Maize,Intercropping,1.00,Low,3.00,50.00,70.00,
Kitui,27,VBA,Maize,Crop rotation,5.00,Med,3.00,30.00,90.00,
Kitui,28,VBA,Maize,Ripping,1.00,Med,3.00,55.00,20.00,F
Kitui,28,VBA,Maize,Planting basins,5.00,High,3.00,65.00,40.00,
Kitui,28,VBA,Maize,Manure application,1.00,Med,3.00,70.00,50.00,
Kitui,28,VBA,Maize,Mulching,1.00,Med,3.00,50.00,30.00,
Kitui,28,VBA,Maize,Microdosing,2.00,High,3.00,72.00,45.00,
Kitui,28,VBA,Maize,Agroforestry,4.00,High,3.00,60.00,35.00,
Kitui,28,VBA,Maize,Intercropping,1.00,Low,3.00,70.00,40.00,
Kitui,28,VBA,Maize,Crop rotation,1.00,Low,3.00,70.00,50.00,
Kitui,29,VBA,Green Grams ,Ripping,2.50,Low,3.00,50.00,15.00,F
Kitui,29,VBA,Green Grams ,Planting basins,5.00,High,3.00,70.00,10.00,
Kitui,29,VBA,Green Grams ,Manure application,1.00,Low,3.00,75.00,50.00,
Kitui,29,VBA,Green Grams ,Mulching,2.50,High,3.00,50.00,25.00,
Kitui,29,VBA,Green Grams ,Microdosing,5.00,High,3.00,20.00,80.00,
Kitui,29,VBA,Green Grams ,Agroforestry,1.00,Med,3.00,50.00,20.00,
Kitui,29,VBA,Green Grams ,Intercropping,2.50,Low,3.00,50.00,20.00,
Kitui,29,VBA,Green Grams ,Crop rotation,1.00,Low,3.00,30.00,15.00,
Kitui,30,Farmer,Green Grams ,Ripping,3.00,High,2.00,80.00,60.00,
Kitui,30,Farmer,Green Grams ,Planting basins,2.00,Low,2.00,100.00,65.00,
Kitui,30,Farmer,Green Grams ,Manure application,5.00,High,2.00,100.00,100.00,
Kitui,30,Farmer,Green Grams ,Mulching,4.00,Med,3.00,60.00,50.00,
Kitui,30,Farmer,Green Grams ,Microdosing,5.00,High,3.00,100.00,100.00,
Kitui,30,Farmer,Green Grams ,Agroforestry,3.00,High,3.00,70.00,20.00,
Kitui,30,Farmer,Green Grams ,Intercropping,4.00,Med,3.00,80.00,70.00,
Kitui,30,Farmer,Green Grams ,Crop rotation,5.00,Med,3.00,70.00,70.00,
Kitui,31,Farmer,,Ripping,1.00,High,5.00,20.00,10.00,
Kitui,31,Farmer,,Planting basins,5.00,High,5.00,30.00,10.00,
Kitui,31,Farmer,,Manure application,5.00,High,5.00,50.00,40.00,
Kitui,31,Farmer,,Mulching,1.00,Low,5.00,80.00,50.00,
Kitui,31,Farmer,,Microdosing,1.00,High,5.00,40.00,20.00,
Kitui,31,Farmer,,Agroforestry,1.00,Med,5.00,30.00,10.00,
Kitui,31,Farmer,,Intercropping,1.00,Low,5.00,80.00,50.00,
Kitui,31,Farmer,,Crop rotation,5.00,High,5.00,20.00,10.00,
Kitui,32,VBA,,Ripping,5.00,High,5.00,90.00,50.00,
Kitui,32,VBA,,Planting basins,3.00,Med,5.00,70.00,10.00,
Kitui,32,VBA,,Manure application,1.00,Low,5.00,90.00,50.00,
Kitui,32,VBA,,Mulching,1.00,Low,5.00,90.00,10.00,
Kitui,32,VBA,,Microdosing,4.00,High,3.00,60.00,50.00,
Kitui,32,VBA,,Agroforestry,1.00,Med,5.00,87.00,10.00,
Kitui,32,VBA,,Intercropping,4.00,Low,5.00,90.00,80.00,
Kitui,32,VBA,,Crop rotation,1.00,Low,5.00,95.00,50.00,
Kitui,33,Farmer,,Ripping,5.00,High,5.00,40.00,90.00,
Kitui,33,Farmer,,Planting basins,4.00,Med,4.00,70.00,80.00,
Kitui,33,Farmer,,Manure application,2.00,Low,3.00,60.00,50.00,
Kitui,33,Farmer,,Mulching,3.00,High,5.00,80.00,50.00,
Kitui,33,Farmer,,Microdosing,1.00,Med,4.00,90.00,10.00,
Kitui,33,Farmer,,Agroforestry,5.00,Low,5.00,60.00,5.00,
Kitui,33,Farmer,,Intercropping,1.00,Med,4.00,50.00,5.00,
Kitui,33,Farmer,,Crop rotation,2.00,Low,5.00,90.00,10.00,
Kitui,34,Farmer,,Ripping,5.00,High,1.00,20.00,10.00,
Kitui,34,Farmer,,Planting basins,1.00,Med,1.00,90.00,60.00,
Kitui,34,Farmer,,Manure application,1.00,Low,2.00,90.00,80.00,
Kitui,34,Farmer,,Mulching,1.00,Low,1.00,90.00,90.00,
Kitui,34,Farmer,,Microdosing,5.00,Med,1.00,70.00,80.00,
Kitui,34,Farmer,,Agroforestry,1.00,Low,4.00,50.00,80.00,
Kitui,34,Farmer,,Intercropping,1.00,Low,1.00,90.00,40.00,
Kitui,34,Farmer,,Crop rotation,1.00,Low,1.00,90.00,70.00,
Kitui,35,Farmer,,Ripping,5.00,High,1.00,40.00,10.00,
Kitui,35,Farmer,,Planting basins,3.00,Med,1.00,70.00,30.00,
Kitui,35,Farmer,,Manure application,4.00,Med,2.00,80.00,20.00,
Kitui,35,Farmer,,Mulching,5.00,Med,2.00,70.00,30.00,
Kitui,35,Farmer,,Microdosing,5.00,High,2.00,70.00,30.00,
Kitui,35,Farmer,,Agroforestry,3.00,Low,3.00,80.00,20.00,
Kitui,35,Farmer,,Intercropping,1.00,Low,1.00,70.00,30.00,
Kitui,35,Farmer,,Crop rotation,5.00,Med,1.00,80.00,20.00,
Kitui,36,Farmer,,Ripping,3.00,High,1.00,25.00,1.00,
Kitui,36,Farmer,,Planting basins,5.00,High,2.00,40.00,5.00,
Kitui,36,Farmer,,Manure application,3.00,Med,2.00,70.00,20.00,
Kitui,36,Farmer,,Mulching,4.00,Low,2.00,60.00,20.00,
Kitui,36,Farmer,,Microdosing,5.00,High,1.00,50.00,10.00,
Kitui,36,Farmer,,Agroforestry,2.00,Med,3.00,65.00,30.00,
Kitui,36,Farmer,,Intercropping,4.00,Med,1.00,75.00,20.00,
Kitui,36,Farmer,,Crop rotation,3.00,Med,1.00,70.00,15.00,
Makueni,37,VBA,,Ripping,5.00,High,3.00,60.00,20.00,
Makueni,37,VBA,,Planting basins,4.00,High,2.00,70.00,20.00,
Makueni,37,VBA,,Manure application,1.00,Low,3.00,90.00,50.00,
Makueni,37,VBA,,Mulching,2.00,Med,2.00,70.00,30.00,
Makueni,37,VBA,,Microdosing,2.00,Med,3.00,80.00,30.00,
Makueni,37,VBA,,Agroforestry,2.00,Med,2.00,70.00,30.00,
Makueni,37,VBA,,Intercropping,1.00,Low,3.00,90.00,70.00,
Makueni,37,VBA,,Crop rotation,1.00,Low,3.00,90.00,60.00,
Makueni,38,VBA,,Ripping,2.00,Med,4.00,65.00,40.00,
Makueni,38,VBA,,Planting basins,3.00,High,3.00,60.00,40.00,
Makueni,38,VBA,,Manure application,3.00,Low,3.00,75.00,50.00,
Makueni,38,VBA,,Mulching,2.00,Med,4.00,50.00,35.00,
Makueni,38,VBA,,Microdosing,2.00,Low,4.00,65.00,45.00,
Makueni,38,VBA,,Agroforestry,3.00,Low,3.00,45.00,35.00,
Makueni,38,VBA,,Intercropping,1.00,Low,3.00,75.00,50.00,
Makueni,38,VBA,,Crop rotation,1.00,Low,3.00,70.00,55.00,
Makueni,39,Farmer,,Ripping,5.00,High,3.00,70.00,30.00,
Makueni,39,Farmer,,Planting basins,4.00,Med,3.00,66.00,30.00,
Makueni,39,Farmer,,Manure application,1.00,Low,3.00,50.00,50.00,
Makueni,39,Farmer,,Mulching,3.00,Med,3.00,80.00,40.00,
Makueni,39,Farmer,,Microdosing,2.00,Low,3.00,60.00,,
Makueni,39,Farmer,,Agroforestry,,,,,,
Makueni,39,Farmer,,Intercropping,,,,,,
Makueni,39,Farmer,,Crop rotation,,,,,,
Makueni,40,Farmer,,Ripping,3.00,Med,3.00,50.00,30.00,
Makueni,40,Farmer,,Planting basins,4.00,High,3.00,60.00,40.00,
Makueni,40,Farmer,,Manure application,2.00,Low,3.00,60.00,50.00,
Makueni,40,Farmer,,Mulching,5.00,High,3.00,40.00,20.00,
Makueni,40,Farmer,,Microdosing,1.00,Med,3.00,50.00,40.00,
Makueni,40,Farmer,,Agroforestry,2.00,Med,3.00,50.00,45.00,
Makueni,40,Farmer,,Intercropping,4.00,High,3.00,30.00,20.00,
Makueni,40,Farmer,,Crop rotation,2.00,Med,3.00,50.00,30.00,
Makueni,41,Farmer,,Ripping,2.00,Med,3.00,50.00,30.00,
Makueni,41,Farmer,,Planting basins,1.00,Low,3.00,40.00,20.00,
Makueni,41,Farmer,,Manure application,3.00,Med,3.00,30.00,20.00,
Makueni,41,Farmer,,Mulching,4.00,Med,3.00,40.00,10.00,
Makueni,41,Farmer,,Microdosing,5.00,Med,3.00,50.00,25.00,
Makueni,41,Farmer,,Agroforestry,4.00,Low,3.00,50.00,20.00,
Makueni,41,Farmer,,Intercropping,5.00,Med,3.00,40.00,20.00,
Makueni,41,Farmer,,Crop rotation,2.00,Low,3.00,60.00,30.00,
Embu,42,Farmer,,Ripping,3.00,Med,3.00,60.00,40.00,
Embu,42,Farmer,,Planting basins,4.00,Med,3.00,50.00,30.00,
Embu,42,Farmer,,Manure application,1.00,Low,3.00,50.00,40.00,
Embu,42,Farmer,,Mulching,3.00,High,3.00,40.00,20.00,
Embu,42,Farmer,,Microdosing,1.00,Low,3.00,40.00,30.00,
Embu,42,Farmer,,Agroforestry,1.00,Low,3.00,30.00,20.00,
Embu,42,Farmer,,Intercropping,4.00,High,3.00,40.00,30.00,
Embu,42,Farmer,,Crop rotation,2.00,Med,3.00,60.00,40.00,
Embu,43,Farmer,,Ripping,5.00,High,3.00,70.00,40.00,
Embu,43,Farmer,,Planting basins,1.00,Low,3.00,60.00,50.00,
Embu,43,Farmer,,Manure application,3.00,Med,3.00,50.00,30.00,
Embu,43,Farmer,,Mulching,4.00,Low,2.00,80.00,60.00,
Embu,43,Farmer,,Microdosing,5.00,High,3.00,70.00,40.00,
Embu,43,Farmer,,Agroforestry,5.00,High,4.00,65.00,30.00,
Embu,43,Farmer,,Intercropping,3.00,Med,3.00,80.00,50.00,
Embu,43,Farmer,,Crop rotation,1.00,Low,3.00,70.00,40.00,
Embu,44,Farmer,,Ripping,3.00,Med,3.00,60.00,30.00,
Embu,44,Farmer,,Planting basins,5.00,High,3.00,50.00,20.00,
Embu,44,Farmer,,Manure application,4.00,Low,3.00,70.00,40.00,
Embu,44,Farmer,,Mulching,1.00,Med,3.00,50.00,30.00,
Embu,44,Farmer,,Microdosing,5.00,High,3.00,80.00,40.00,
Embu,44,Farmer,,Agroforestry,5.00,High,3.00,40.00,20.00,
Embu,44,Farmer,,Intercropping,1.00,Med,3.00,70.00,40.00,
Embu,44,Farmer,,Crop rotation,2.00,Low,3.00,60.00,30.00,
Embu,45,Farmer,,Ripping,1.00,Med,3.00,70.00,30.00,
Embu,45,Farmer,,Planting basins,1.00,Low,3.00,60.00,20.00,
Embu,45,Farmer,,Manure application,1.00,Low,3.00,80.00,20.00,
Embu,45,Farmer,,Mulching,1.00,Low,3.00,80.00,25.00,
Embu,45,Farmer,,Microdosing,1.00,Low,3.00,70.00,20.00,
Embu,45,Farmer,,Agroforestry,1.00,Low,3.00,75.00,30.00,
Embu,45,Farmer,,Intercropping,1.00,Low,3.00,50.00,25.00,
Embu,45,Farmer,,Crop rotation,1.00,Low,3.00,60.00,20.00,
Embu,46,Farmer,,Ripping,3.00,High,3.00,50.00,30.00,
Embu,46,Farmer,,Planting basins,2.00,Med,3.00,70.00,50.00,
