County ,Farmer No.,Type of Respondent,Type of Crop,Gender,Scenario Name,Baseline (bags/ac),Land (ac),Weather,Soil,Management,Practice 1,Practice 2,Practice 3,Lowest Yield in bags/ac,Highest Yield in bags/ac
Kitui,9,VBA,Green Grams,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,2,3
Kitui,10,RA farmer,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,1,15
Kitui,10,RA farmer,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,8
Kitui,10,RA farmer,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1,7
Kitui,10,RA farmer,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,10,20
Kitui,10,RA farmer,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,1,100
Kitui,11,RA farmer,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,10,20
Kitui,11,RA farmer,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,20
Kitui,11,RA farmer,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1,20
Kitui,11,RA farmer,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,10,20
Kitui,11,RA farmer,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,20,30
Kitui,12,RA farmer,Green Grams,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,6,8
Kitui,12,RA farmer,Green Grams,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,5
Kitui,12,RA farmer,Green Grams,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),1,2
Kitui,12,RA farmer,Green Grams,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,50,60
Kitui,12,RA farmer,Green Grams,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,2,3
Kitui,13,RA farmer,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,9,18
Kitui,13,RA farmer,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,6,8
Kitui,13,RA farmer,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),9,16
Kitui,13,RA farmer,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,1
Kitui,13,RA farmer,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,8,6
Tharaka,14,VBA,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,3,16
Tharaka,14,VBA,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,7,20
Tharaka,14,VBA,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),12,25
Tharaka,14,VBA,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,5
Tharaka,14,VBA,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,7
Tharaka,15,VBA,Beans,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2,6
Tharaka,15,VBA,Beans,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,2
Tharaka,15,VBA,Beans,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),7,10
Tharaka,15,VBA,Beans,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,1,1.5
Tharaka,15,VBA,Beans,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,7
Tharaka,16,RA farmer,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,30,40
Tharaka,16,RA farmer,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,8,16
Tharaka,16,RA farmer,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),7,10
Tharaka,16,RA farmer,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,10,15
Tharaka,16,RA farmer,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,5,7
Tharaka,17,VBA,Beans,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2,6
Tharaka,17,VBA,Beans,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,3
Tharaka,17,VBA,Beans,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),4,8
Tharaka,17,VBA,Beans,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,1,2
Tharaka,17,VBA,Beans,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,5
Tharaka,18,VBA,Beans,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2,8
Tharaka,18,VBA,Beans,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,1.5
Tharaka,18,VBA,Beans,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),6,10
Tharaka,18,VBA,Beans,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,0.5,1
Tharaka,18,VBA,Beans,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,4,6
Tharaka,19,VBA,Beans,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2,8
Tharaka,19,VBA,Beans,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,1.5
Tharaka,19,VBA,Beans,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),6,10
Tharaka,19,VBA,Beans,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,0.5,1
Tharaka,19,VBA,Beans,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,4,6
Tharaka,20,VBA,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,21,85
Tharaka,20,VBA,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,7,20
Tharaka,20,VBA,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),12,40
Tharaka,20,VBA,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,8
Tharaka,20,VBA,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,7,25
Tharaka,21,VBA,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,15,30
Tharaka,21,VBA,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,3
Tharaka,21,VBA,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),10,20
Tharaka,21,VBA,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,3,5
Tharaka,21,VBA,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,8,10
Tharaka,22,VBA,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,3,8
Tharaka,22,VBA,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,4
Tharaka,22,VBA,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),10,15
Tharaka,22,VBA,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,4
Tharaka,22,VBA,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,5
Tharaka,23,VBA,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,4,10
Tharaka,23,VBA,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,4,8
Tharaka,23,VBA,Maize,F,SCENARIO C,6,1,Good (≈700 mm),\,Average,Intercropping,Mulching,Manure application (5 t/ac),5,10
Tharaka,23,VBA,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,5
Tharaka,23,VBA,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,4
Tharaka,24,VBA,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,14,20
Tharaka,24,VBA,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,3
Tharaka,24,VBA,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),10,35
Tharaka,24,VBA,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,3,5
Tharaka,24,VBA,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,15,35
Tharaka,25,RA farmer,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,8,18
Tharaka,25,RA farmer,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,3
Tharaka,25,RA farmer,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),4,8
Tharaka,25,RA farmer,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,0.5,1
Tharaka,25,RA farmer,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,6
Tharaka,26,RA farmer,Beans,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2,5
Tharaka,26,RA farmer,Beans,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,Less than 1 bag,1 bag
Tharaka,26,RA farmer,Beans,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),4,8
Tharaka,26,RA farmer,Beans,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,1,1.5
Tharaka,26,RA farmer,Beans,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,1,2
Tharaka,27,RA farmer,Maize,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,5,20
Tharaka,27,RA farmer,Maize,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,5
Tharaka,27,RA farmer,Maize,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),5,10
Tharaka,27,RA farmer,Maize,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,1,1.5
Tharaka,27,RA farmer,Maize,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,6,10
Tharaka,28,RA farmer,Beans,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,3,6
Tharaka,28,RA farmer,Beans,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,3,5
Tharaka,28,RA farmer,Beans,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),4,6
Tharaka,28,RA farmer,Beans,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,3
Tharaka,28,RA farmer,Beans,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,4
Tharaka,29,RA farmer,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,4,10
Tharaka,29,RA farmer,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,40,50
Tharaka,29,RA farmer,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),14,16
Tharaka,29,RA farmer,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,4,6
Tharaka,29,RA farmer,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,4
Tharaka,30,VBA,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,4,12
Tharaka,30,VBA,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,6
Tharaka,30,VBA,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),10,16
Tharaka,30,VBA,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,8
Tharaka,30,VBA,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,6,10
Tharaka,31,RA farmer,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2.5,20
Tharaka,31,RA farmer,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,2
Tharaka,31,RA farmer,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),13,26
Tharaka,31,RA farmer,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,4
Tharaka,31,RA farmer,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,3
Tharaka,32,RA farmer,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,3,16
Tharaka,32,RA farmer,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,4.5,18
Tharaka,32,RA farmer,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),2.5,14
Tharaka,32,RA farmer,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,5,19
Tharaka,32,RA farmer,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,3,15
Tharaka,33,VBA,Maize,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,3,10
Tharaka,33,VBA,Maize,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,0.5,1.5
Tharaka,33,VBA,Maize,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),2,5
Tharaka,33,VBA,Maize,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,1,1.5
Tharaka,33,VBA,Maize,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,4,10
Tharaka,34,RA farmer,Green Grams,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,4,8
Tharaka,34,RA farmer,Green Grams,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,4
Tharaka,34,RA farmer,Green Grams,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),6,10
Tharaka,34,RA farmer,Green Grams,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,3,7
Tharaka,34,RA farmer,Green Grams,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,5,10
Tharaka,35,RA farmer,Green Grams,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,8,8.5
Tharaka,35,RA farmer,Green Grams,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,6
Tharaka,35,RA farmer,Green Grams,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),5,12
Tharaka,35,RA farmer,Green Grams,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,3,6
Tharaka,35,RA farmer,Green Grams,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,7,10
Tharaka,36,RA farmer,Green Grams,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,60,13
Tharaka,36,RA farmer,Green Grams,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,5,9
Tharaka,36,RA farmer,Green Grams,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),30,15
Tharaka,36,RA farmer,Green Grams,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,20,30
Tharaka,37,RA farmer,Green Grams,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,10,20
Tharaka,37,RA farmer,Green Grams,F,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,2,10
Tharaka,37,RA farmer,Green Grams,F,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,1,2
Tharaka,37,RA farmer,Green Grams,F,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),3,6
Tharaka,37,RA farmer,Green Grams,F,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,1,2
Tharaka,37,RA farmer,Green Grams,F,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,6,10
Tharaka,38,VBA ,Sorghum,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,4,12
Tharaka,38,VBA ,Sorghum,M,SCENARIO B,8,2,Drought (≈300 mm),Poor,Average,Mulching,,,2,4
Tharaka,38,VBA ,Sorghum,M,SCENARIO C,6,1,Good (≈700 mm),Good,Average,Intercropping,Mulching,Manure application (5 t/ac),3,8
Tharaka,38,VBA ,Sorghum,M,SCENARIO D,10,1,Average (≈500–600 mm),Poor,Weak,Planting basins,,,2,4
Tharaka,38,VBA ,Sorghum,M,SCENARIO E,8,2,Average (≈500–600 mm),Medium,Strong,Agroforestry (trees on farm),Crop rotation,,6,14
Tharaka,39,VBA ,Sorghum,M,SCENARIO A,8,2,Average (≈500–600 mm),Medium,Strong,Ripping,Manure application (5 t/ac),Microdosing fertilizer,8,13
